wordcount	language	chapter	title
3889	en	12	xii. new conception of the antique
2214	en	06	vi. nodier
4030	es	14	barante
2045	es	00	
494	ru	05	новое душевное настроеніе
3870	ru	11	борьба съ обществомъ -- дельфина г-жи сталь - условность национальныхъ предразсудковъ 
7316	yi	11	.
1066	yi	05	דער נײער זעלען-צושטאַנד.
5392	yi	04	שאַטאָבריאַנ'ס "רענעי."
5149	yi	10	די איטאַליענישע פּאָזיע
1399	ru	10	адольфъ
2115	ru	04	„рене* шатобріава
3197	es	01	chateaubriand, atala
1714	es	15	conclusión
9724	en	07	vii. constant: »on religion«–»adolphe«
6670	en	13	xiii. de l'allemagne
4899	en	05	v. obermann
6680	en	11	xi. attack upon national and protestant prejudices
3439	es	03	werther
2643	ru	12	г-жа сталь и вольтеръ
3160	ru	06	„обсриаякъ* севаакура
5913	yi	06	סעינאַנקור'ס „אַבערמאַן."
4442	yi	12	נײער באַגריף פון דאָס אַנטיקע.
7552	yi	13	מאַדאַם דע סטאַל'ס „איבער דײטשלאַנד."
2365	yi	07	נאָדיע.
3504	ru	07	адольфъ констана.
1441	ru	13	итальавскаа поезіа
2105	es	02	rousseau
5065	en	10	x. »corinne«
4961	en	04	iv. rené
1936	en	00	the emigrant literature
3953	en	14	xiv. barante
2254	es	06	charles nodier
4122	es	12	nueva concepcion de la antigüedad
1254	ru	17	европейская реакція
1194	ru	03	меланхолія мизантропія у мольера я шекспира
3560	yi	03	געטהע'ס „װערטהער".
3412	yi	02	רוסאָ'ס „נײע העלאָיז".
1832	ru	02	„вертеръ* гёте
4501	ru	16	борьба гъ національными и протестаатскиии предразсудками. артистическое воззрѣніе иа искусство и жизнь. сочувствіе къ католицизму
7276	es	13	sobre alemania
10364	es	07	constant. sobre religion
1656	en	15	xv. conclusion
2915	en	01	i. chateaubriand
1681	yi	99	
3136	en	03	iii. werther
7020	es	11	lucha contra los prejuicios nacionales y protestantes
5188	es	05	sénancour. obermann
1021	ru	00	
3429	ru	14	новое пониманіе античнаго-
3917	yi	14	באַראַנט.
3307	yi	01	שאַטאָבריאַן, אַטאַלאַ.
1735	ru	15	„корвина* г-жи сталь
2678	ru	01	новая элоиза руссо
5208	es	04	rené
5232	es	10	corina
1847	en	02	ii. rousseau
2956	de	03	goethe’s »werther. «
3392	pl	07	vii
1375	pl	13	xiii
2613	pl	12	xii
3027	pl	06	vi
2817	de	02	rousseau’5 ,,neue håloise.«
1148	de	14	barante.
2104	de	00	der uebergang vom 18. zum 19. jahrhundert geschah in
4231	da	08	viii
1356	pl	10	x
2032	pl	04	iv
496	pl	05	v
3790	pl	11	xi
4759	da	09	ix
2664	de	01	chateaubriand, atala.
1366	de	15	schluß.
6121	de	11	kampf gegen nationale und protestantische vorurteile.
864	de	05	der neue seelenzustand.
1816	pl	15	xv
2588	pl	01	i
985	pl	00	
3437	pl	14	xiv
4556	de	04	chateaubriand’5 »rene««.
4357	de	10	die italienische poesie
5144	de	06	sånancour’5 ,,obermann«.
3703	de	12	neue betrachtung der antike.
1822	pl	02	ii
13885	pl	16	xvi
1188	pl	03	iii
6438	de	13	frau von staeks ,,ueber deutschland«. 
1924	de	07	nodier.
1492	da	02	ii
2545	da	03	iii
10155	de	09	frau von stael
1329	da	01	i
1252	da	15	xv
3095	da	14	xiv
1729	da	00	
9663	de	08	constant’s » adolphe«.
4165	da	04	iv
3922	da	10	x
1672	pl	08	viii
1933	pl	09	ix
4951	da	11	xii
4093	da	05	v
5245	da	13	xiii
8693	da	07	vii
1810	da	06	vi
2518	da	12	xii
6157	es	09	destierro
6179	es	08	madame de stael. delphine
5875	en	09	ix. exile
5917	en	08	viii. madame de staël: »delphine«
1973	ru	09	женскіе типи у гёте и „элеонора* коветава
12270	yi	09	מאַדאַם דע סטאַל.
11531	yi	08	קאָנסטאַן.
1576	ru	08	характеръ беяжамеяа констанъ.